Country,LAType,LAName,TotalEstablishments(IncludingNotYetRated&Outside),EstablishmentsNotYetRatedForIntervention,EstablishmentsOutsideTheProgramme,Total%OfBroadlyCompliantEstablishmentsRatedA-E,Total%OfBroadlyCompliantEstablishments(IncludingNotYetRated),ARatedEstablishments,Total%OfBroadlyCompliantEstablishments-A,BRatedEstablishments,Total%OfBroadlyCompliantEstablishments-B,CRatedEstablishments,Total%OfBroadlyCompliantEstablishments-C,DRatedEstablishments,Total%OfBroadlyCompliantEstablishments-D,ERatedEstablishments,Total%OfBroadlyCompliantEstablishments-E,Total%OfInterventionsAchieved(PremisesRatedA-E),Total%OfInterventionsAchieved-PremisesRatedA,Total%OfInterventionsAchieved-PremisesRatedB,Total%OfInterventionsAchieved-PremisesRatedC,Total%OfInterventionsAchieved-PremisesRatedD,Total%OfInterventionsAchieved-PremisesRatedE,Total%OfInterventionsAchieved-PremisesNotYetRated,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-VoluntaryClosure,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-Seizure|Detention&SurrenderOfFood,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-Suspension/RevocationOfApprovalOrLicence,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-HygieneEmergencyProhibitionNotice,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-ProhibitionOrder,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-SimpleCaution,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-HygieneImprovementNotices,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-RemedialAction&DetentionNotices,TotalNumberOfEstablishmentsSubjectToWrittenWarnings,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-ProsecutionsConcluded,ProfessionalFullTimeEquivalentPosts-Occupied*
England,District Council,Basingstoke and Deane,1239,7,0,99.43,98.87,0,NP,14,64.29,179,98.88,402,100.00,637,100.00,99.42,100.00,97.78,100.00,99.60,99.06,100.00,1,0,0,0,0,0,2,0,295,0,2.30
England,District Council,Bassetlaw ?,1044,9,11,97.56,96.71,3,33.33,14,71.43,121,94.21,445,98.43,441,98.87,97.99,100.00,100.00,100.00,98.04,94.53,100.00,0,0,0,0,0,0,3,0,130,0,2.60
England,District Council,Blaby,775,5,0,96.23,95.61,5,40.00,31,70.97,124,89.52,213,98.12,397,100.00,98.49,62.50,100.00,100.00,100.00,NR,75.00,2,0,0,0,0,0,0,0,141,0,2.00
England,District Council,Bolsover,709,26,0,97.80,94.22,1,0.00,33,72.73,99,94.95,266,100.00,284,100.00,94.33,100.00,100.00,100.00,99.14,82.08,100.00,0,0,0,0,0,0,1,0,170,0,2.55
England,District Council,Boston,679,5,41,98.58,97.81,2,100.00,22,68.18,71,97.18,259,100.00,279,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0,0,0,0,0,0,3,0,81,0,2.80
England,District Council,Braintree,1343,10,70,97.23,96.47,0,NP,39,74.36,196,89.80,495,98.99,533,100.00,96.40,100.00,100.00,100.00,99.49,83.25,100.00,2,0,0,0,0,0,0,0,261,0,2.85
England,District Council,Breckland,1460,28,14,96.90,95.02,2,50.00,106,76.42,232,92.67,381,99.74,697,100.00,98.94,100.00,100.00,99.78,97.91,97.24,95.77,2,0,0,0,0,0,12,0,55,0,4.00
England,District Council,Brentwood,683,7,0,98.96,97.95,3,33.33,14,71.43,110,100.00,278,99.64,271,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0,0,0,0,0,0,1,0,169,0,2.20
England,District Council,Broadland ?,1167,15,77,98.33,96.97,0,NP,55,85.45,147,95.24,370,99.19,503,100.00,88.99,100.00,100.00,99.65,99.48,39.57,92.54,0,0,0,0,0,0,1,0,411,0,2.79
England,District Council,Bromsgrove,871,57,121,98.27,90.80,2,0.00,31,80.65,168,98.21,261,99.62,231,100.00,90.82,100.00,100.00,92.25,92.38,62.96,80.00,0,0,0,0,0,0,1,0,71,0,2.16
England,District Council,Broxbourne,834,16,51,98.31,96.30,0,NP,10,60.00,91,92.31,285,99.30,381,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0,0,0,0,0,0,0,0,31,0,2.50
England,District Council,Broxtowe,1017,95,21,96.56,87.35,5,20.00,36,77.78,186,92.47,297,98.32,377,100.00,75.43,100.00,100.00,83.80,67.48,43.10,100.00,2,1,0,2,2,4,4,0,282,1,1.70
England,District Council,Burnley ?,931,20,18,97.65,95.51,0,NP,30,70.00,116,91.38,367,99.46,380,100.00,99.80,100.00,100.00,100.00,99.52,100.00,100.00,2,1,0,0,0,0,1,0,277,0,3.10
England,District Council,Cambridge City,1518,55,91,96.06,92.36,3,0.00,36,55.56,241,89.63,628,98.41,464,100.00,76.21,100.00,100.00,87.02,69.65,67.74,100.00,6,0,0,0,0,0,2,0,264,0,3.22
England,District Council,Cannock Chase,811,18,0,98.99,96.79,0,NP,17,58.82,62,98.39,347,100.00,367,100.00,99.53,NR,100.00,100.00,99.49,99.09,93.75,0,2,0,0,0,1,1,0,162,0,3.00
England,District Council,Canterbury City,1818,38,32,98.74,96.64,0,NP,59,86.44,334,96.41,626,99.68,729,100.00,98.89,100.00,100.00,99.46,98.41,98.14,89.85,1,2,0,0,0,0,1,0,465,0,4.50
England,District Council,Carlisle City,1139,17,59,98.12,96.57,0,NP,20,55.00,173,95.95,459,99.13,411,100.00,92.88,100.00,98.77,97.52,94.93,74.76,95.18,1,0,0,0,0,0,4,0,156,1,2.60
England,District Council,Castle Point,502,11,0,88.80,86.85,4,0.00,42,26.19,99,85.86,161,96.27,185,100.00,99.36,100.00,100.00,100.00,99.15,97.87,100.00,1,0,0,0,0,0,0,0,138,0,1.15
England,District Council,Charnwood,1480,16,0,93.58,92.57,4,0.00,53,39.62,238,80.67,562,97.86,607,100.00,99.16,100.00,100.00,100.00,99.39,96.03,96.43,1,1,0,0,0,0,0,0,210,0,4.46
England,District Council,Chelmsford,1324,84,9,96.99,90.80,3,0.00,27,48.15,189,92.06,526,99.05,486,100.00,95.79,100.00,96.61,98.26,95.36,92.66,100.00,1,0,0,0,0,0,1,0,213,0,3.10
England,District Council,Cheltenham,925,14,0,96.82,95.35,1,0.00,69,81.16,284,96.48,313,98.40,244,100.00,95.86,100.00,100.00,92.93,98.94,94.61,100.00,0,0,0,0,0,0,0,0,837,0,3.30
England,District Council,Cherwell,1182,99,0,97.14,89.00,4,0.00,49,75.51,260,95.00,413,99.52,357,100.00,92.29,100.00,97.06,96.28,88.95,87.10,100.00,2,0,0,0,0,0,2,0,309,0,3.50
England,District Council,Chesterfield,1040,20,87,96.14,94.12,0,NP,28,50.00,157,90.45,342,97.95,406,100.00,99.78,100.00,100.00,100.00,100.00,98.72,100.00,0,0,0,0,0,0,1,1,277,0,3.00
England,District Council,Chichester,1468,55,25,96.18,92.52,7,14.29,49,65.31,283,90.46,575,99.48,474,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0,0,0,0,0,0,4,0,508,0,4.50
England,District Council,Chiltern,815,17,16,97.06,94.99,1,100.00,34,76.47,153,90.85,205,99.51,389,100.00,87.03,100.00,98.25,99.40,96.88,51.52,100.00,1,2,0,0,0,0,8,0,172,0,1.92
England,District Council,Chorley ?,942,42,0,95.22,90.98,1,0.00,70,65.71,152,90.13,324,99.07,353,100.00,78.30,100.00,90.91,87.27,54.55,87.07,100.00,0,0,0,0,1,0,3,0,205,0,5.20
England,District Council,Christchurch,424,41,0,98.43,88.92,1,100.00,10,60.00,64,98.44,167,99.40,141,100.00,81.50,100.00,97.22,95.51,78.79,22.22,97.22,0,0,0,0,0,0,2,0,45,0,1.75
England,District Council,Colchester,1631,33,0,97.75,95.77,2,50.00,42,64.29,647,97.84,193,97.93,714,99.72,93.80,100.00,98.97,94.63,89.39,89.63,98.46,1,0,0,0,0,1,5,0,398,0,4.10
England,District Council,Copeland ?,690,9,1,95.15,93.90,4,50.00,36,66.67,120,87.50,249,98.39,271,100.00,99.62,100.00,100.00,100.00,98.63,100.00,100.00,2,0,0,0,0,0,0,0,127,0,2.40
England,District Council,Corby,415,3,0,96.60,95.90,5,0.00,15,66.67,182,97.80,55,100.00,155,100.00,98.29,100.00,100.00,99.39,100.00,76.92,100.00,0,0,0,0,0,0,2,0,115,0,2.00
England,District Council,Cotswold,1180,65,17,96.81,91.40,4,100.00,52,78.85,249,91.16,311,99.36,482,100.00,83.03,100.00,86.76,88.38,85.82,68.94,100.00,1,0,0,0,0,0,1,1,299,0,2.33
England,District Council,Craven,949,30,65,97.89,94.57,2,50.00,36,83.33,115,94.78,360,98.61,341,100.00,83.36,100.00,100.00,95.65,69.61,84.96,62.96,2,0,0,0,0,0,1,0,209,0,2.75
England,District Council,Crawley,924,37,4,97.96,94.02,0,NP,21,66.67,132,91.67,283,100.00,447,100.00,93.93,NR,93.10,94.40,92.27,96.77,100.00,0,1,0,0,0,0,1,0,224,0,8.00
England,District Council,Dacorum,1359,57,25,95.93,91.83,2,0.00,45,57.78,198,86.36,478,99.16,554,100.00,91.56,94.74,95.16,96.04,91.58,82.44,91.95,3,0,0,0,0,0,2,0,279,0,1.80
England,District Council,Dartford,946,25,0,93.81,91.33,1,0.00,33,57.58,197,87.82,317,94.64,373,99.73,92.03,100.00,100.00,94.53,91.91,86.14,100.00,4,0,0,1,0,0,1,0,334,0,2.30
England,District Council,Daventry,808,18,0,99.37,97.15,1,0.00,12,83.33,121,99.17,278,99.64,378,100.00,89.92,100.00,100.00,98.55,97.17,80.23,100.00,5,0,0,0,0,0,2,0,116,1,2.00
England,District Council,Derbyshire Dales,1469,62,8,96.50,92.40,2,0.00,53,54.72,219,90.87,386,99.22,739,100.00,33.53,100.00,93.33,86.34,73.74,2.71,100.00,3,0,0,0,0,0,1,0,200,0,4.00
England,District Council,Dover,1364,58,126,96.86,92.33,7,0.00,42,80.95,251,92.43,435,99.31,445,100.00,98.40,100.00,97.80,99.15,98.45,97.06,100.00,12,0,0,2,0,0,1,0,444,0,3.60
England,District Council,East Cambridgeshire,802,43,3,95.37,90.24,3,0.00,47,65.96,132,89.39,224,99.11,350,100.00,94.56,100.00,100.00,97.36,84.57,97.44,100.00,1,0,0,0,0,0,0,0,258,0,3.00
England,District Council,East Devon,1771,28,0,96.27,94.75,3,33.33,69,79.71,358,89.39,525,98.10,788,99.87,97.02,100.00,100.00,97.34,93.79,96.72,100.00,0,0,0,0,0,0,0,0,407,0,3.00
England,District Council,East Dorset,756,59,0,98.57,90.87,3,66.67,19,78.95,114,96.49,270,99.63,291,100.00,84.68,100.00,100.00,89.52,86.08,33.33,94.44,0,0,0,0,0,1,1,0,70,0,1.75
England,District Council,East Hampshire ?,970,29,20,97.83,94.84,0,NP,29,72.41,178,93.82,319,99.69,395,100.00,88.50,NR,100.00,96.45,83.42,80.14,80.00,0,0,0,0,0,0,0,0,378,0,2.50
England,District Council,East Hertfordshire,1464,183,0,94.85,82.99,2,0.00,46,50.00,195,87.18,412,96.84,626,99.52,70.30,100.00,98.44,88.76,57.14,14.63,100.00,0,1,0,0,0,0,0,0,268,0,2.88
England,District Council,East Lindsey,2391,51,174,96.49,94.27,6,0.00,106,69.81,368,91.85,972,99.28,714,99.86,67.88,100.00,98.33,84.04,65.10,47.43,89.46,0,0,0,0,0,8,19,0,865,0,6.00
England,District Council,East Northamptonshire,902,46,59,97.49,92.17,0,NP,16,75.00,120,90.00,265,98.87,396,99.75,90.02,NR,100.00,95.45,94.12,73.79,100.00,0,0,0,0,0,0,1,0,184,0,2.20
England,District Council,East Staffordshire,1217,66,0,97.65,92.36,1,100.00,44,90.91,230,92.61,348,98.28,528,100.00,52.32,100.00,100.00,67.11,47.46,13.08,66.15,0,0,0,0,0,0,2,0,259,0,3.20
England,District Council,Eastbourne,1031,17,0,98.92,97.28,1,0.00,31,83.87,163,96.93,392,100.00,427,100.00,94.64,100.00,100.00,98.44,94.81,72.22,94.34,0,1,0,0,0,0,2,0,208,0,2.75
England,District Council,Eastleigh,932,18,38,98.29,96.31,1,100.00,8,75.00,145,92.41,314,99.36,408,100.00,96.98,100.00,100.00,99.30,98.21,92.57,84.96,2,0,0,0,0,0,1,0,204,0,2.00
England,District Council,Eden,1061,10,56,97.49,96.52,3,0.00,33,66.67,125,94.40,357,98.88,477,100.00,99.44,100.00,100.00,100.00,99.63,98.11,96.69,0,0,0,0,0,0,0,0,178,0,4.00
England,District Council,Elmbridge,1213,156,0,96.88,84.42,3,0.00,29,72.41,221,90.50,422,99.76,382,100.00,97.60,100.00,100.00,100.00,98.68,90.10,100.00,0,0,0,0,0,0,2,0,184,1,3.25
England,District Council,Epping Forest,1226,149,136,97.87,84.50,0,NP,31,67.74,215,96.28,398,99.50,297,100.00,58.72,100.00,64.52,69.03,58.26,43.24,98.39,0,0,0,0,0,0,1,0,69,0,2.60
England,District Council,Epsom and Ewell,503,18,0,87.84,84.69,5,0.00,35,34.29,117,75.21,120,98.33,208,100.00,90.67,100.00,100.00,100.00,100.00,54.84,100.00,2,0,0,1,0,0,4,0,134,0,1.25
England,District Council,Erewash,932,4,9,98.91,98.48,2,100.00,36,91.67,195,97.44,262,99.24,424,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0,2,0,0,0,0,10,0,433,0,3.30
England,District Council,Exeter City,1124,39,0,97.60,94.22,1,0.00,39,79.49,193,93.26,487,99.18,365,100.00,99.15,100.00,100.00,98.67,99.67,97.44,100.00,0,0,0,0,0,0,3,0,462,0,3.00
England,District Council,Fareham,784,19,65,93.43,90.96,7,0.00,27,51.85,127,85.83,250,97.20,289,99.65,99.83,100.00,100.00,99.53,100.00,100.00,100.00,0,2,0,0,0,0,4,0,72,0,2.60
England,District Council,Fenland,854,30,0,97.33,93.91,5,20.00,25,72.00,116,94.83,302,98.34,376,100.00,80.99,100.00,100.00,99.05,74.19,67.74,100.00,0,0,0,0,0,0,15,0,161,1,2.00
England,District Council,Forest of Dean,825,17,8,96.50,94.49,4,0.00,21,57.14,124,88.71,298,99.66,353,100.00,86.53,100.00,100.00,97.67,85.71,59.70,100.00,0,0,0,0,0,0,3,0,96,1,2.33
England,District Council,Fylde,800,13,0,93.39,91.88,6,0.00,37,70.27,184,86.41,282,96.45,278,100.00,99.12,100.00,100.00,99.48,98.80,97.65,89.53,3,0,0,0,1,3,9,0,370,2,3.50
England,District Council,Gedling,796,26,0,96.75,93.59,0,NP,28,53.57,141,92.20,273,99.63,328,100.00,99.78,100.00,100.00,100.00,99.50,100.00,100.00,0,0,0,0,0,0,7,0,211,0,3.00
England,District Council,Gloucester City,1010,19,0,96.17,94.36,5,0.00,30,60.00,116,87.93,430,98.60,410,99.76,94.18,100.00,97.56,98.15,96.92,84.62,100.00,1,0,0,0,0,0,0,0,83,0,2.50
England,District Council,Gosport,671,26,3,96.11,92.37,0,NP,14,35.71,80,88.75,256,97.66,292,99.66,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0,0,0,0,1,0,0,0,82,0,2.60
England,District Council,Gravesham,871,37,113,96.81,92.08,1,0.00,7,42.86,126,89.68,282,98.23,305,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,2,0,0,0,0,0,2,0,157,0,3.00
England,District Council,Great Yarmouth (1),1130,42,0,94.21,90.71,21,28.57,27,62.96,238,88.24,430,97.67,372,100.00,99.10,100.00,100.00,99.58,99.15,95.95,97.20,3,1,0,0,0,0,1,0,461,0,4.00
England,District Council,Guildford,1158,97,4,95.36,87.35,1,0.00,28,39.29,160,90.00,402,96.52,466,99.79,54.34,100.00,100.00,96.51,92.72,20.70,57.92,2,0,0,0,0,0,2,0,288,0,2.51
England,District Council,Hambleton,1137,79,123,97.54,89.94,4,25.00,32,78.13,143,93.01,415,99.28,341,100.00,59.57,100.00,100.00,97.92,71.01,13.58,65.50,2,0,0,1,0,0,21,0,91,1,1.20
England,District Council,Harborough,992,91,0,98.67,89.62,1,0.00,19,73.68,146,95.89,253,100.00,482,100.00,82.87,100.00,100.00,98.94,100.00,25.93,100.00,0,0,0,0,0,0,2,0,123,0,2.80
England,District Council,Harlow,690,4,0,96.21,95.65,4,0.00,17,41.18,86,90.70,243,98.35,336,100.00,97.30,100.00,100.00,99.22,99.15,93.13,100.00,0,0,0,0,0,1,4,1,114,0,2.40
England,District Council,Harrogate,2028,145,32,99.41,92.18,3,66.67,45,95.56,295,98.98,737,99.59,771,99.74,84.74,100.00,98.73,97.13,86.52,60.29,100.00,1,0,0,0,0,0,3,1,514,0,4.00
England,District Council,Hart ?,730,24,0,94.33,91.23,5,0.00,37,54.05,155,90.32,200,98.50,309,100.00,87.28,100.00,98.11,99.12,97.37,36.07,100.00,0,1,0,0,1,6,13,0,275,0,2.00
England,District Council,Hastings,886,49,0,96.77,91.42,1,0.00,23,52.17,121,91.74,387,99.22,305,99.34,95.53,100.00,100.00,97.94,97.22,85.37,100.00,1,0,0,0,0,1,2,0,277,0,3.00
England,District Council,Havant ?,820,17,15,98.22,96.15,0,NP,35,82.86,92,94.57,308,99.03,353,100.00,98.25,NR,96.97,98.72,98.37,98.15,74.60,0,0,0,0,0,0,1,0,46,0,3.00
England,District Council,Hertsmere,804,68,0,84.92,77.74,8,37.50,54,38.89,240,78.33,274,92.34,160,100.00,93.71,100.00,99.15,97.16,95.80,73.74,67.57,5,0,0,0,0,1,8,0,367,0,3.00
England,District Council,High Peak,1068,32,0,99.23,96.25,2,0.00,14,78.57,165,98.18,353,100.00,502,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,5,0,0,0,0,0,7,0,289,0,2.00
England,District Council,Hinckley and Bosworth,971,14,0,97.07,95.67,3,0.00,26,73.08,184,94.02,384,98.18,360,100.00,94.38,100.00,100.00,96.41,94.81,86.60,100.00,3,0,0,0,0,0,1,0,371,0,3.00
England,District Council,Horsham,1177,52,0,93.87,89.72,3,33.33,46,58.70,236,84.75,390,97.18,450,99.78,96.64,100.00,98.44,98.44,95.50,95.16,100.00,0,0,0,0,0,0,0,0,411,0,5.00
England,District Council,Huntingdonshire,1430,105,35,97.36,90.04,3,33.33,47,70.21,266,94.74,445,99.33,529,99.81,97.10,100.00,100.00,99.26,96.56,89.19,91.50,4,0,0,0,0,1,4,0,326,0,3.74
England,District Council,Hyndburn,756,17,0,79.70,77.91,5,0.00,48,8.33,137,56.93,299,89.63,250,95.60,100.00,100.00,100.00,100.00,100.00,100.00,100.00,7,0,0,1,0,0,0,0,360,0,4.40
England,District Council,Ipswich,1191,35,20,92.78,90.01,4,0.00,37,29.73,232,85.78,448,96.21,415,99.52,86.20,100.00,85.71,88.30,78.70,97.32,100.00,2,0,0,0,0,0,1,0,249,0,4.26
England,District Council,Kettering,916,16,0,97.67,95.96,1,0.00,29,65.52,135,94.81,257,99.22,478,99.79,76.03,NR,100.00,88.71,75.47,29.82,100.00,0,0,0,0,0,1,7,0,195,1,1.60
England,District Council,King's Lynn and West Norfolk,1795,78,0,96.74,92.53,5,20.00,80,77.50,324,93.52,486,97.94,822,99.64,70.18,100.00,91.92,87.10,72.50,17.91,100.00,1,1,0,0,0,0,2,0,329,0,5.20
England,District Council,Lancaster City,1522,46,0,95.39,92.51,8,12.50,52,63.46,264,86.36,447,98.66,705,100.00,92.48,100.00,98.89,98.65,70.61,100.00,95.83,0,1,0,0,0,1,14,0,379,0,5.20
England,District Council,Lewes,997,48,1,94.83,90.26,7,28.57,46,60.87,155,88.39,276,97.46,464,99.78,95.88,80.00,100.00,98.40,100.00,90.18,100.00,0,0,0,0,0,0,6,0,138,0,2.60
England,District Council,Lichfield,916,21,0,95.87,93.67,7,0.00,52,63.46,152,94.74,289,99.31,395,99.75,99.49,100.00,100.00,99.59,100.00,98.46,100.00,2,0,0,0,0,0,22,0,350,1,3.00
England,District Council,Lincoln City,1010,8,2,97.20,96.43,6,16.67,29,65.52,159,93.71,422,99.29,384,100.00,93.13,100.00,100.00,96.85,92.21,74.76,100.00,1,2,0,0,0,0,10,1,168,0,3.70
England,District Council,Maidstone,1349,46,33,97.95,94.53,2,0.00,20,50.00,140,91.43,512,99.80,596,99.83,99.19,100.00,98.70,100.00,98.52,100.00,100.00,0,0,0,0,0,0,4,0,182,0,4.00
England,District Council,Maldon,625,3,0,98.71,98.24,0,NP,10,50.00,72,97.22,296,99.66,244,100.00,98.03,NR,100.00,98.51,98.09,96.92,100.00,0,0,0,0,0,0,0,0,119,0,2.00
England,District Council,Malvern Hills,953,86,143,97.93,87.53,6,33.33,27,85.19,154,96.10,260,99.62,277,100.00,85.11,100.00,92.31,90.38,84.48,69.23,45.95,0,0,0,0,0,0,0,0,72,0,2.16
England,District Council,Mansfield,885,23,21,92.87,90.39,5,40.00,40,52.50,176,82.95,282,97.16,338,100.00,77.52,100.00,100.00,99.55,97.74,21.43,95.00,1,1,0,0,0,0,7,0,282,2,2.96
England,District Council,Melton,523,94,14,97.11,79.17,2,50.00,21,61.90,86,97.67,159,99.37,147,100.00,96.58,100.00,100.00,99.06,93.48,86.67,100.00,1,0,0,0,0,0,3,0,90,0,1.50
England,District Council,Mendip ?,1491,76,0,97.95,92.96,2,0.00,23,47.83,142,92.96,463,98.92,785,100.00,42.98,75.00,93.33,92.31,87.06,14.53,67.80,0,0,1,0,1,0,5,0,236,1,3.00
England,District Council,Mid Devon,1007,140,5,97.91,84.23,5,20.00,27,92.59,75,86.67,311,99.36,444,100.00,73.38,100.00,100.00,100.00,67.21,55.90,100.00,0,0,0,0,1,0,1,0,111,0,2.00
England,District Council,Mid Sussex,1314,48,0,96.37,92.85,5,20.00,35,54.29,207,93.24,453,99.12,566,98.59,99.75,100.00,100.00,99.62,99.66,100.00,100.00,0,1,0,0,0,0,3,0,343,0,4.00
England,District Council,Mole Valley,715,41,0,95.40,89.93,2,0.00,30,56.67,103,89.32,250,98.80,289,99.31,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1,0,0,0,0,0,1,0,65,0,2.00
England,District Council,New Forest,1832,8,41,96.52,96.09,8,12.50,75,70.67,329,92.40,560,98.93,811,99.75,96.59,100.00,100.00,100.00,97.54,86.19,94.17,2,0,0,0,0,0,22,0,698,0,4.53
England,District Council,Newark and Sherwood,1107,23,0,98.43,96.39,4,50.00,27,81.48,139,93.53,419,99.76,495,100.00,98.03,100.00,100.00,98.84,98.25,96.15,100.00,1,0,0,0,0,0,1,0,130,0,4.00
England,District Council,Newcastle-Under-Lyme,1079,33,2,97.99,94.99,0,NP,41,73.17,222,96.40,336,99.40,445,100.00,98.09,100.00,100.00,99.48,95.77,97.70,81.02,0,0,0,0,0,0,4,0,434,0,4.00
England,District Council,North Devon,1621,57,0,99.36,95.87,0,NP,17,82.35,220,97.73,523,100.00,804,99.75,97.32,100.00,92.86,96.97,91.73,99.70,100.00,0,0,0,0,0,0,0,0,284,0,2.40
England,District Council,North Dorset,809,12,0,99.50,98.02,1,100.00,23,86.96,108,99.07,218,100.00,447,100.00,97.64,100.00,100.00,100.00,99.02,94.87,87.23,0,0,0,0,0,0,2,0,172,0,2.80
England,District Council,North East Derbyshire,887,32,1,98.13,94.58,1,0.00,31,90.32,125,93.60,303,99.01,394,99.75,87.08,100.00,100.00,100.00,99.04,60.53,100.00,2,0,0,0,0,0,0,0,195,0,2.55
England,District Council,North Hertfordshire,1192,36,3,91.76,88.98,7,0.00,77,46.75,195,78.46,361,98.61,513,100.00,81.29,100.00,100.00,100.00,72.44,42.74,88.89,3,0,0,0,0,0,12,1,394,3,3.00
England,District Council,North Kesteven,1161,12,0,97.65,96.64,3,33.33,25,60.00,130,89.23,320,100.00,671,99.85,100.00,100.00,100.00,100.00,100.00,100.00,95.40,0,0,0,0,0,0,3,0,178,0,4.20
